id,condition,if_search_factor,start,end,duration,time_diff_exploration,chart,code,time_elapse_from_start,search_content
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,F5 Networks,82544,94251,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,7,121349,Dun & Bradstreet,13389,94259,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,McCormick & Company,13794,94266,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Constellation Brands,13180,94275,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,647,121349,Crown Castle International,19048,94595,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,153,121349,Facebook ,314438,95242,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,608,121349,Tripadvisor ,314086,95395,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,649,121349,Facebook ,314438,96003,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,455,121349,Crown Castle International,19048,96652,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,2028,121349,Facebook ,314438,97107,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,453,121349,Tripadvisor ,314086,99135,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,1457,121349,Tripadvisor ,314086,100061,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,348,121349,Facebook ,314438,101518,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,580,121349,Crown Castle International,19048,101866,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,Advance Auto Parts,18582,102490,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,5,121349,SCANA ,14130,102506,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,salesforce.com,19287,102511,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Pioneer Natural Resources,14006,102521,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,Colgate-Palmolive,13269,102530,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,J M Smucker ,13667,102540,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Western Union,112535,102550,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,Praxair,14029,102558,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,FLIR Systems,19138,102568,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,6,121349,Aon ,13035,102576,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,27,121349,Henry Schein,18238,102608,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,11,121349,Chipotle Mexican Grill,111849,104589,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,12,121349,Starwood Hotels & Resorts Worldwide ,14673,104620,Walt Disney 
